,AccountId,Score,Percentage
1079,657955,21,100.0
1080,657994,4,19.04761905
1081,658001,8,38.0952381
1082,658002,5,23.80952381
1083,658008,6,28.57142857
1084,658011,9,42.85714286
1085,658013,10,47.61904762
1086,658034,7,33.33333333
1087,658041,6,28.57142857
1088,658062,5,23.80952381
1089,658077,9,42.85714286
1090,658094,6,28.57142857
1091,658095,9,42.85714286
1092,658104,8,38.0952381
1093,658111,6,28.57142857
1094,658140,6,28.57142857
1095,658155,7,33.33333333
1096,658164,8,38.0952381
1097,658189,6,28.57142857
1098,658200,5,23.80952381
1099,658210,9,42.85714286
1100,658214,5,23.80952381
1101,658215,6,28.57142857
1102,658227,8,38.0952381
1103,658232,10,47.61904762
1104,658235,9,42.85714286
1105,658303,5,23.80952381
1106,658312,8,38.0952381
1107,658340,9,42.85714286
1109,658346,3,14.28571429
1112,658357,6,28.57142857
1115,658462,7,33.33333333
1116,658464,7,33.33333333
1117,658470,7,33.33333333
1118,658512,8,38.0952381
1119,658515,11,52.38095238
1120,658540,4,19.04761905
1121,658598,5,23.80952381
1122,658650,15,71.42857143
1123,658652,6,28.57142857
1124,658694,2,9.523809524
1125,658720,11,52.38095238
1126,658742,5,23.80952381
1127,658753,10,47.61904762
1128,658764,7,33.33333333
1129,658766,6,28.57142857
1131,658779,19,90.47619048
1133,658781,6,28.57142857
1134,658784,10,47.61904762
1135,658805,5,23.80952381
1136,658808,5,23.80952381
1137,658824,15,71.42857143
1138,658833,6,28.57142857
1139,658851,5,23.80952381
1140,658862,5,23.80952381
1141,658871,6,28.57142857
1142,658983,5,23.80952381
1143,659000,9,42.85714286
1144,659010,7,33.33333333
1145,659041,6,28.57142857
1146,659047,21,100.0
1147,659126,6,28.57142857
1148,659139,11,52.38095238
1149,659145,8,38.0952381
1150,659241,8,38.0952381
1151,659247,12,57.14285714
1152,659254,7,33.33333333
1153,659286,6,28.57142857
1154,659287,5,23.80952381
1155,659318,6,28.57142857
1156,659322,5,23.80952381
1157,659334,5,23.80952381
1158,659340,6,28.57142857
1159,659359,6,28.57142857
1160,659366,5,23.80952381
1161,659368,11,52.38095238
1162,659386,6,28.57142857
1163,659400,6,28.57142857
1164,659406,4,19.04761905
1165,659432,15,71.42857143
1166,659460,6,28.57142857
1167,659489,6,28.57142857
1168,659491,9,42.85714286
1169,659492,12,57.14285714
1170,659495,8,38.0952381
